,me_ce,ee_ce,l_chemo,lin_sat_cf,ve_dir,ve_der,ve_sec,n_regions,mean_l_area,std_l_area,len_network,mean_n_width,std_n_width
sim_196,4.0,1.98,364.74,0.1,1.0,0.3,0.3,53.0,404.66037735849056,344.20737186344604,3629.0,2.3051192086288204,0.9209657881387278
sim_197,4.0,4.26,438.7,0.1,1.0,0.3,0.3,59.0,382.1694915254237,268.1662874287161,3953.0,2.004954868432103,0.7356961440912646
sim_198,4.0,13.32,345.34,0.1,1.0,0.3,0.3,66.0,322.25757575757575,318.6250437476846,4698.0,1.8757094683580167,0.719800290181268
sim_199,4.0,10.41,549.64,0.1,1.0,0.3,0.3,68.0,365.8382352941176,294.8775723172404,4292.0,1.7109349000205663,0.6007598457862645
sim_210,4.0,10.84,67.22,0.1,1.0,0.3,0.3,9.0,20.11111111111111,16.789179348910313,4209.0,2.4596305776463545,1.2220226279366386
sim_211,4.0,11.62,208.66,0.1,1.0,0.3,0.3,63.0,328.6984126984127,234.19193287996046,4369.0,2.187706350433454,0.8853617295290942
sim_212,4.0,12.1,198.6,0.1,1.0,0.3,0.3,56.0,356.32142857142856,267.69159407948604,4407.0,2.189250586968065,0.8684849173775596
sim_213,4.0,6.26,338.11,0.1,1.0,0.3,0.3,51.0,419.4901960784314,329.40364252358336,3962.0,2.234913403479902,0.9400844362583602
sim_214,4.0,4.4,324.93,0.1,1.0,0.3,0.3,56.0,402.69642857142856,312.02609321078864,3741.0,2.3101795795806264,0.8747468461897647
sim_215,4.0,8.3,480.92,0.1,1.0,0.3,0.3,67.0,343.04477611940297,229.60273496965772,4249.0,1.8270682039956432,0.6695967345286392
sim_216,4.0,4.62,577.59,0.1,1.0,0.3,0.3,63.0,381.7142857142857,378.5738664192246,3928.0,1.8342906186071513,0.6637938879464996
sim_217,4.0,6.11,536.37,0.1,1.0,0.3,0.3,68.0,367.47058823529414,316.6013205812187,4017.0,1.8414301362536591,0.6588845344572277
sim_218,4.0,1.71,478.27,0.1,1.0,0.3,0.3,58.0,395.2586206896552,307.11749747168415,3856.0,2.012277814923674,0.7482770165462219
sim_219,4.0,13.5,401.81,0.1,1.0,0.3,0.3,65.0,338.7692307692308,277.7373839400627,4706.0,1.7723565642794792,0.6787854293657083
sim_270,4.0,11.76,136.91,0.1,1.0,0.3,0.3,50.0,374.62,284.4632060566006,4162.0,2.4237342781870965,1.0387010845621198
sim_271,4.0,5.58,223.17,0.1,1.0,0.3,0.3,48.0,457.8333333333333,386.08976359851295,3736.0,2.621902036599006,1.0642316595803492
sim_272,4.0,8.28,189.31,0.1,1.0,0.3,0.3,50.0,408.48,254.38358752089334,3810.0,2.565186333989768,1.0575947881651688
sim_273,4.0,13.22,232.8,0.1,1.0,0.3,0.3,55.0,376.03636363636366,273.3893636047888,4546.0,2.08702598392251,0.8788328507036113
sim_274,4.0,9.5,304.82,0.1,1.0,0.3,0.3,60.0,340.78333333333336,237.31688320799165,4119.0,2.1353719728203067,0.8063429577216156
sim_275,4.0,12.45,319.99,0.1,1.0,0.3,0.3,67.0,338.1194029850746,312.36576925557745,4679.0,1.9083958872839923,0.740141391430184
sim_276,4.0,10.9,398.05,0.1,1.0,0.3,0.3,68.0,320.9117647058824,236.89975140242942,4450.0,1.882713420580485,0.737820398207501
sim_277,4.0,1.63,545.4,0.1,1.0,0.3,0.3,56.0,439.23214285714283,332.4751328548298,3927.0,1.9330146178566916,0.7422609406811941
sim_278,4.0,11.01,418.03,0.1,1.0,0.3,0.3,69.0,335.0869565217391,279.1775570861532,4543.0,1.8194721162824066,0.6831990394562338
